learning_rate,lambda,final_cost,train_r2,test_r2
0.0001,1e-15,2.5063804237248513,0.6827941623014413,0.6857577706584169
0.0001,1e-10,2.506380423724905,0.6827941623014385,0.6857577706584143
0.0001,1e-05,2.5063804290535727,0.6827941620396236,0.6857577703966846
0.0001,0.001,2.5063809565967206,0.6827941361197085,0.6857577444852145
0.0001,0.0,2.5063804237248513,0.6827941623014413,0.6857577706584169
0.0001,1.0,2.506913256387015,0.6827679809328537,0.6857315978095813
0.0001,10.0,2.5117052203134183,0.6825323814211937,0.685496074036369
0.0001,20.0,2.517022181017531,0.6822706735226476,0.685234448311701
0.001,1e-15,0.4263669457652752,0.9460392832156523,0.9449671606888546
0.001,1e-10,0.42636694576542483,0.9460392832156519,0.9449671606888544
0.001,1e-05,0.42636696074472474,0.9460392831702054,0.9449671606722034
0.001,0.001,0.4263684437099071,0.9460392786709299,0.9449671590237015
0.001,0.0,0.4263669457652752,0.9460392832156523,0.9449671606888546
0.001,1.0,0.4278645607798905,0.9460347059636004,0.9449654619869245
0.001,10.0,0.4413134781652231,0.9459905911780588,0.9449471625630022
0.001,20.0,0.45619451867362426,0.9459354578317034,0.9449205205935521
0.01,1e-15,0.1955265703969027,0.9752542874305962,0.9740963581466371
0.01,1e-10,0.19552657039730775,0.9752542874305843,0.9740963581466254
0.01,1e-05,0.1955266109161863,0.9752542862459502,0.9740963569746511
0.01,0.001,0.19553062230662438,0.9752541689660148,0.9740962409480738
0.01,0.0,0.1955265703969027,0.9752542874305962,0.9740963581466371
0.01,1.0,0.19955977167670472,0.9751358383664204,0.9739791923780613
0.01,10.0,0.2342630484700332,0.9740727028374648,0.9729290704154808
0.01,20.0,0.26980044274380427,0.972903131735147,0.9717766900722731
0.1,1e-15,0.12683010003016684,0.9839484669826493,0.9829634070621965
0.1,1e-10,0.1268301000308502,0.9839484669826492,0.9829634070621961
0.1,1e-05,0.12683016836533553,0.9839484669781392,0.9829634070160016
0.1,0.001,0.12683693346441768,0.9839484665212668,0.9829634024323654
0.1,0.0,0.12683010003016684,0.9839484669826493,0.9829634070621965
0.1,1.0,0.13358143478074758,0.9839378388892421,0.9829486583089233
0.1,10.0,0.18793543575441743,0.9831546636031065,0.9821339455094069
0.1,20.0,0.23798405711842535,0.9814779791531881,0.980435606294706
